1,429000,1179000,
2,433000,1156000,
3,414000,1147000,
4,420000,1107000,
5,340000,1020000,
6,321000,996000,
006sub1,261050,1023050,264050,1025050,
006sub2,255050,1017050,258050,1019050,
7,315000,970000,
8,117000,926000,
9,212000,940000,
10,252000,940000,
11,292000,929000,
12,300000,939000,
012sub1,67050,944050,76050,948050,
012sub2,86050,910050,90050,913050,
13,95000,903000,
14,105000,886000,
15,196000,900000,
16,236000,900000,
17,276000,900000,
017sub1,5050,896050,17050,907050,
017sub2,59050,880050,64050,884050,
18,69000,863000,
19,174000,860000,
20,214000,860000,
21,254000,860000,
22,57000,823000,
23,113000,836000,
24,150000,830000,
25,190000,820000,
26,230000,820000,
27,270000,830000,
28,310000,833000,
29,345000,830000,
30,377000,830000,
31,50000,783000,
32,130000,800000,
33,170000,790000,
34,210000,780000,
35,250000,790000,
36,285000,793000,
37,325000,793000,
38,365000,790000,
39,120000,770000,
40,160000,760000,
41,200000,750000,
42,240000,750000,
43,280000,760000,
44,320000,760000,
45,360000,760000,
46,92000,733000,
47,120000,732000,
48,120000,710000,
49,160000,720000,
50,200000,710000,
51,240000,720000,
52,270000,720000,
53,294000,720000,
54,334000,720000,
55,164000,680000,
56,204000,682000,
57,244000,682000,
58,284000,690000,
59,324000,690000,
60,110000,640000,
61,131000,662000,
62,160000,640000,
63,200000,642000,
64,240000,645000,
65,280000,650000,
66,316000,650000,
67,356000,650000,
68,157000,600000,
69,175000,613000,
70,215000,605000,
71,255000,605000,
72,280000,620000,
73,320000,620000,
74,357000,620000,
75,390000,620000,
76,195000,570000,
77,235000,570000,
78,275000,580000,
79,315000,580000,
80,355000,580000,
81,395000,580000,
82,195000,530000,
83,235000,530000,
84,265000,540000,
85,305000,540000,
86,345000,540000,
87,367000,540000,
88,407000,540000,
89,290000,500000,
90,317000,500000,
91,357000,500000,
92,380000,500000,
93,420000,500000,
94,460000,485000,
95,213000,465000,
96,303000,460000,
97,326000,460000,
98,366000,460000,
99,406000,460000,
100,446000,460000,
101,486000,460000,
102,326000,420000,
103,360000,420000,
104,400000,420000,
105,440000,420000,
106,463000,420000,
107,500000,420000,
108,320000,380000,
109,360000,380000,
110,400000,380000,
111,430000,380000,
112,470000,385000,
113,510000,386000,
114,220000,360000,
115,240000,345000,
116,280000,345000,
117,320000,340000,
118,360000,340000,
119,400000,340000,
120,440000,350000,
121,478000,350000,
122,518000,350000,
123,210000,320000,
124,250000,305000,
125,280000,305000,
126,320000,300000,
127,360000,300000,
128,400000,308000,
129,440000,310000,
130,480000,310000,
131,520000,310000,
132,560000,310000,
133,600000,310000,
134,617000,290000,
135,250000,265000,
136,280000,265000,
137,320000,260000,
138,345000,260000,
139,385000,268000,
140,425000,270000,
141,465000,270000,
142,504000,274000,
143,537000,274000,
144,577000,270000,
145,200000,220000,
146,240000,225000,
147,270000,240000,
148,310000,240000,
149,333000,228000,
150,373000,228000,
151,413000,230000,
152,453000,230000,
153,493000,234000,
154,533000,234000,
155,573000,234000,
156,613000,250000,
157,165000,201000,
158,189000,190000,
159,229000,185000,
160,269000,205000,
161,309000,205000,
162,349000,188000,
163,389000,190000,
164,429000,190000,
165,460000,195000,
166,500000,194000,
167,540000,194000,
168,580000,194000,
169,607000,210000,
170,269000,165000,
171,309000,165000,
172,340000,155000,
173,380000,155000,
174,420000,155000,
175,460000,155000,
176,495000,160000,
177,530000,160000,
178,565000,155000,
179,603000,133000,
180,240000,112000,
181,280000,112000,
182,320000,130000,
183,349000,115000,
184,389000,115000,
185,426000,116000,
186,465000,125000,
187,505000,125000,
188,545000,125000,
189,585000,115000,
190,207000,87000,
191,247000,72000,
192,287000,72000,
193,310000,90000,
194,349000,75000,
195,389000,75000,
196,429000,76000,
197,469000,90000,
198,509000,97000,
199,549000,94000,
200,175000,50000,
201,215000,47000,
202,255000,32000,
203,132000,11000,
204,172000,14000,
169Guildford.kml,493050,138050,503050,154050,
184Ashford.kml,591050,137050,607050,148050,

